Name,Description,Category,Price,Tags
Chilli Garlic Noodles,,,Rs 299,
Chilli Garlic Veg Momo,,,Rs 249,SPICY
Chilli Paneer Gravy,,,Rs 299,
Chinese Party Box [NV],,,Rs 1199,
Chinese Party Box [Veg],,,Rs 799,
Chotu Bhaiya ka Palak Paneer,,,Rs 199,
Chotu's Diet Butter Chicken,,,Rs 299,
Chotu's Diet Paneer Makhani,,,Rs 249,
Chotu's Extra Buttery Mumbai Pav Bhaji,,,Rs 349,
Chotu's Guilt Free Light Pav Bhaji,,,Rs 259,
Chowmein [chicken],,,Rs 279,
Chowmein [veg],,,Rs 249,BESTSELLER
Classic Garlic Bread with Cheese,,,Rs 149,
Corn Seekh,,,Rs 329,
Cream of Mushroom Soup,,,Rs 299,
Creamy White Sauce Pasta [veg],,,Rs 399,
Cripsy Salt n Pepper Corn,,,Rs 279,
Crispy Chilli Cauliflower,,,Rs 269,
Crispy Chilli Prawns,,,Rs 899,
Crystal Chicken Dumpling,,,Rs 329,
Dabeli,,,Rs 99,BESTSELLER
Dahi ke Sholey,,,Rs 329,
Dal Fry,,,Rs 299,
Dal Fry Double Tadka,,,Rs 299,
Dal Fry Khichdi,,,Rs 229,
Dal Makhani,,,Rs 329,
Dal Makhani Double Tadka,,,Rs 329,
Desi Kitchen ka Chilli Chicken,,,Rs 399,
Drums of Heaven,,,Rs 299,
Egg Fried Rice,,,Rs 249,
Extra Butter Pav [large 2 pc],,,Rs 69,
Extra Butter Pav [mini 4 pc],,,Rs 69,
Fish Tikka,,,Rs 499,
Freshly Baked Masala Kulcha,,,Rs 99,
Freshly Baked Pav,,,Rs 99,
Fried Rice,,,Rs 229,
Galouti Kebab,,,Rs 449,NEW
Galouti Pav,,,Rs 229,
Garlic & Red Chilli Naan,,,Rs 99,
Garlic Bread Plain,,,Rs 99,
Garlic Bread [cheese & paneer tikka],,,Rs 249,
"Garlic Bread with Cheese, Onion & Capsicum",,,Rs 249,
Garlic Bread with cheese & mushroom,,,Rs 249,
"Garlic Bread with cheese, corn & capsicum",,,Rs 249,
Garlic Naan,,,Rs 99,
Ghar Jaise Dal Chawal,,,Rs 229,
Gk wale Tandoori Momo [chicken],,,Rs 299,
Gk wale Tandoori Momo [veg],,,Rs 249,
Green Chilli Roti,,,Rs 49,
Green Salad,,,Rs 100,
Gulab Jamun,,,Rs 169,
Hakka Noodles Veg,,,Rs 249,
Hari Mirch Achaar [15gm],,,Rs 10,
High Tea Party Box [4 boxes],,,Rs 529,
Honey Chilli Potatoes,,,Rs 299,
Hot Pot with Cashews & Veg / Chicken,,,Rs 299,
Jasmine Rice,,,Rs 199,
Jeera Rice,,,Rs 199,
Kachumber Salad,,,Rs 100,
