Name,Description,Category,Price,Tags
Schezwan Chicken Hakka Noodles,,,Rs 220,
Squid Fry,,,Rs 280,
Squid Rings,,,Rs 250,
Stuffed Crab,,,Rs 600,
Tandoor Chicken,,,Rs 275,
Tandoori Aloo Tikka,,,Rs 170,
Tandoori Broccoli Lasooni Kebab,,,Rs 220,
Tandoori Fish Tikka,,,Rs 260,
Tandoori Gobi Tikka,,,Rs 170,
Tandoori Hariyali Chicken Kebab,,,Rs 230,
Tandoori Lehsuni Chicken Kebab,,,Rs 230,
Tandoori Malai Chicken Tikka,,,Rs 230,
Tandoori Mushroom Tikka,,,Rs 210,
Tandoori Paneer Tikka,,,Rs 210,
Usli,,,Rs 90,
Veg Fried Rice,,,Rs 170,
Veg Hakka Noodles,,,Rs 180,
Veg Hara Bhara Kabab,,,Rs 190,
Veg Hot and Sour Soup,,,Rs 150,
Veg Hyderabadi,,,Rs 220,
Veg Kolhapuri,,,Rs 220,
Veg Manchow Soup,,,Rs 150,
Veg Sweet Corn Soup,,,Rs 150,
