Name,Description,Category,Price,Tags
Kerage Crispy Chicken,,,Rs 555,
Khamiri Roti,,,Rs 110,
Korean Chicken Sushi [8 Pieces],,,Rs 995,
Korean Gocho Chang Charred Chicken Bao,,,Rs 565,
Kosha Mangsho,,,Rs 645,
Laccha Paratha,,,Rs 125,
Lamb Bolognese Pasta,,,Rs 625,
Lamb Mangolian Curry,,,Rs 595,
Lamb Messaman Curry,,,Rs 595,
Lamb Rendang Bali Indonaise a Balines Rendang Curry Pot,,,Rs 595,
Lamb The Classic Curry Pot,,,Rs 595,
Mabo Tofu,,,Rs 795,
Mac N Cheese Pasta,,,Rs 555,
Margherita Pizza [12 inches],,,Rs 775,
Masala Papad,,,Rs 225,
Mashed Potato,,,Rs 225,
Meat Special Pizza [12 inches],,,Rs 995,
Messaman Curry,,,Rs 595,
Minestrone Soup,,,Rs 525,
Miss Italian Parma Di Latte Pizza [12 inches],,,Rs 995,
Missi Roti,,,Rs 115,
Mixed Green Thai Basil Black Bean,,,Rs 595,
Murgh Malai Tikka,,,Rs 675,
Mushroom Gyoza Dimsums [5 Pieces],,,Rs 525,
Mushroom Magic Kung Pao,,,Rs 595,
Mushroom Rara,,,Rs 645,
Mushroom Risotto Pasta,,,Rs 675,
Mutton Keema Pav,,,Rs 655,
Non Veg Hot Sour Soup,,,Rs 555,
Non Veg Minestrone Soup,,,Rs 525,
Non Veg Sichuan Style Manchow Soup,,,Rs 55,
Nyc Cream Cheese Dumpling [5 Pieces],,,Rs 625,
Ombre Stuffed Kulcha,,,Rs 135,
Paneer Tikka Masala,,,Rs 725,
Paneer Tikka Moogewala,,,Rs 565,
Parmeasan and Herbal Peshwari Chicken,,,Rs 565,
Pepper Prawns,,,Rs 995,
Pesto Chicken Penne Pasta,,,Rs 625,
Pomodoro Gourmet Farfalle Pasta,,,Rs 595,
Pork Ginger Bambo,,,Rs 895,
Pork Mangolian Curry,,,Rs 595,
Pork Messaman Curry,,,Rs 595,
Pork Rendang Bali Indonaise a Balines Rendang Curry Pot,,,Rs 595,
Pork Sliced Sichuan Chilli Oil,,,Rs 695,
Pork The Classic Curry Pot,,,Rs 595,
Prawnd Hargao and Truffle Dimsums [5 Pieces],,,Rs 675,
Prawns Mangolian Curry,,,Rs 995,
Prawns Messaman Curry,,,Rs 995,
Prawns Rendang Bali Indonaise a Balines Rendang Curry Pot,,,Rs 995,
Prawns The Classic Curry Pot,,,Rs 995,
Prawns and Chive Wonton,,,Rs 725,
Quattro Formaggi Pizza [12 inches],,,Rs 865,
Quinoa and Burrata Salad,,,Rs 535,
Rendang Bali Indonaise a Balines Rendang Curry Pot,,,Rs 595,
Roasted Chicken and Pomodoro Risotto Pasta,,,Rs 695,
Roasted Pot Vegetable Risotto Pasta,,,Rs 625,
Salmon Creamy Cheesy Sushi [8 Pieces],,,Rs 1025,
Seasonal Grilled Veg,,,Rs 225,
Shake Shake Sesame Raw Honey Citrus Chicken,,,Rs 595,
Shredded Lamb Sliced Sichuan Chilli Oil,,,Rs 795,
Sichuan Style Manchow Soup,,,Rs 475,
Siciliana Egg Plant and Tomato Pizza [12 inches],,,Rs 795,
Simply Chicken Pizza [12 inches],,,Rs 995,
Sliced Fish Mangolian Curry,,,Rs 595,
