Name,Description,Category,Price,Tags,Dietary_Info,Standard_Category
Lamb & Mushroom Pappardelle Pasta,Lamb & Mushroom Pappardelle Pasta is a  item priced at Rs 525.,,Rs 525,,Non-Vegetarian,Uncategorized
Layer Cake,Layer Cake is a  item priced at Rs 425.,,Rs 425,,Unknown,Uncategorized
Life is a Beach!,Life is a Beach! is a  item priced at Rs 425.,,Rs 425,,Unknown,Uncategorized
Lotus Seeds,Lotus Seeds is a  item priced at Rs 150.,,Rs 150,,Unknown,Uncategorized
Margherita,Margherita is a  item priced at Rs 500.,,Rs 500,BESTSELLER,Unknown,Uncategorized
Morrocan Vegetable Tagine,Morrocan Vegetable Tagine is a  item priced at Rs 425.,,Rs 425,,Vegetarian,Uncategorized
Okra Podi Chips,Okra Podi Chips is a  item priced at Rs 275.,,Rs 275,,Unknown,Uncategorized
Orange & Walnut Cake,Orange & Walnut Cake is a  item priced at Rs 325.,,Rs 325,,Unknown,Uncategorized
Penne All' Arrabbiata,Penne All' Arrabbiata is a  item priced at Rs 375.,,Rs 375,,Unknown,Uncategorized
Peruvian Chicken Sandwich,Peruvian Chicken Sandwich is a delicious chicken dish priced at Rs 400.,,Rs 400,,Non-Vegetarian,Uncategorized
Pesto Grilled Veggies,Pesto Grilled Veggies is a  item priced at Rs 575.,,Rs 575,,Non-Vegetarian,Uncategorized
Pork Pepperoni,Pork Pepperoni is a  item priced at Rs 725.,,Rs 725,,Non-Vegetarian,Uncategorized
Pork Ribs,Pork Ribs is a  item priced at Rs 450.,,Rs 450,SPICY,Non-Vegetarian,Uncategorized
Puliyogare Poppers,Puliyogare Poppers is a  item priced at Rs 275.,,Rs 275,,Unknown,Uncategorized
Pulled Lamb Burger,Pulled Lamb Burger is a  item priced at Rs 525.,,Rs 525,,Non-Vegetarian,Uncategorized
Red Wine Braised Lamb Shanks,Red Wine Braised Lamb Shanks is a  item priced at Rs 550.,,Rs 550,,Non-Vegetarian,Uncategorized
"Roasted Onion, Feta & Asparagus","Roasted Onion, Feta & Asparagus is a  item priced at Rs 600.",,Rs 600,,Unknown,Uncategorized
Roasted Veggie & Scamorza Panini,Roasted Veggie & Scamorza Panini is a  item priced at Rs 375.,,Rs 375,,Non-Vegetarian,Uncategorized
Sautéed Field Mushroom,Sautéed Field Mushroom is a  item priced at Rs 375.,,Rs 375,,Vegetarian,Uncategorized
Shrimp-ly The Best,Shrimp-ly The Best is a  item priced at Rs 650.,,Rs 650,,Non-Vegetarian,Uncategorized
Smoky Habanero Chicken Wings,Smoky Habanero Chicken Wings is a delicious chicken dish priced at Rs 350.,,Rs 350,,Non-Vegetarian,Uncategorized
Southern Fried Chicken Burger,Southern Fried Chicken Burger is a delicious chicken dish priced at Rs 425.,,Rs 425,,Non-Vegetarian,Uncategorized
Spaghetti Aglio E Olio,Spaghetti Aglio E Olio is a  item priced at Rs 375.,,Rs 375,,Unknown,Uncategorized
Spicy Chicken,Spicy Chicken is a delicious chicken dish priced at Rs 625.,,Rs 625,BESTSELLER,Non-Vegetarian,Uncategorized
Spinach & Mascarpone Agnoletti,Spinach & Mascarpone Agnoletti is a  item priced at Rs 425.,,Rs 425,,Unknown,Uncategorized
Stuffed Chicken Wingettes,Stuffed Chicken Wingettes is a delicious chicken dish priced at Rs 375.,,Rs 375,SPICY,Non-Vegetarian,Uncategorized
Tartufo,Tartufo is a  item priced at Rs 575.,,Rs 575,,Unknown,Uncategorized
Toit Baked Nachos,Toit Baked Nachos is a  item priced at Rs 300.,,Rs 300,BESTSELLER,Unknown,Uncategorized
Traditional Baked Cheesecake,Traditional Baked Cheesecake is a  item priced at Rs 325.,,Rs 325,,Vegetarian,Uncategorized
Traditional Scotch Egg,Traditional Scotch Egg is a  item priced at Rs 400.,,Rs 400,,Non-Vegetarian,Uncategorized
Veg Full House,Veg Full House is a  item priced at Rs 575.,,Rs 575,,Vegetarian,Uncategorized
Vegan Fellows,Vegan Fellows is a  item priced at Rs 575.,,Rs 575,,Vegetarian,Uncategorized
Warm Apple Crumble,Warm Apple Crumble is a  item priced at Rs 325.,,Rs 325,,Unknown,Uncategorized
Watermelon & Feta salad,Watermelon & Feta salad is a  item priced at Rs 350.,,Rs 350,,Unknown,Uncategorized
West Coast Pepper Mutton,West Coast Pepper Mutton is a  item priced at Rs 475.,,Rs 475,,Non-Vegetarian,Uncategorized
