Name,Description,Category,Price,Tags,Dietary_Info,Standard_Category
Chicken Fried Rice,Chicken Fried Rice is a delicious chicken dish priced at Rs 200.,,Rs 200,,Non-Vegetarian,Uncategorized
Chicken Fry,Chicken Fry is a delicious chicken dish priced at Rs 220.,,Rs 220,,Non-Vegetarian,Uncategorized
Chicken Ghee Roast,Chicken Ghee Roast is a delicious chicken dish priced at Rs 280.,,Rs 280,,Non-Vegetarian,Uncategorized
Chicken Hakka Noodles,Chicken Hakka Noodles is a delicious chicken dish priced at Rs 210.,,Rs 210,,Non-Vegetarian,Uncategorized
Chicken Hyderabadi,Chicken Hyderabadi is a delicious chicken dish priced at Rs 240.,,Rs 240,,Non-Vegetarian,Uncategorized
Chicken Kabab,Chicken Kabab is a delicious chicken dish priced at Rs 200.,,Rs 200,,Non-Vegetarian,Uncategorized
Chicken Kolhapuri,Chicken Kolhapuri is a delicious chicken dish priced at Rs 250.,,Rs 250,,Non-Vegetarian,Uncategorized
Chicken Lollipop,Chicken Lollipop is a delicious chicken dish priced at Rs 220.,,Rs 220,BESTSELLER,Non-Vegetarian,Uncategorized
Chicken Majestic,Chicken Majestic is a delicious chicken dish priced at Rs 230.,,Rs 230,,Non-Vegetarian,Uncategorized
Chicken Manchow Soup,Chicken Manchow Soup is a delicious chicken dish priced at Rs 180.,,Rs 180,,Non-Vegetarian,Uncategorized
Chicken Pepper Fry,Chicken Pepper Fry is a delicious chicken dish priced at Rs 230.,,Rs 230,,Non-Vegetarian,Uncategorized
Chicken Sukka,Chicken Sukka is a delicious chicken dish priced at Rs 260.,,Rs 260,,Non-Vegetarian,Uncategorized
Chicken Sweet Corn Soup,Chicken Sweet Corn Soup is a delicious chicken dish priced at Rs 180.,,Rs 180,,Non-Vegetarian,Uncategorized
Chicken Tikka Masala,Chicken Tikka Masala is a delicious chicken dish priced at Rs 260.,,Rs 260,,Non-Vegetarian,Uncategorized
Chicken Tikka Tandoori,Chicken Tikka Tandoori is a delicious chicken dish priced at Rs 230.,,Rs 230,,Non-Vegetarian,Uncategorized
Chicken Urval,Chicken Urval is a delicious chicken dish priced at Rs 230.,,Rs 230,,Non-Vegetarian,Uncategorized
Chilli Chicken,Chilli Chicken is a delicious chicken dish priced at Rs 230.,,Rs 230,,Non-Vegetarian,Uncategorized
Chilli Prawns,Chilli Prawns is a  item priced at Rs 280.,,Rs 280,,Non-Vegetarian,Uncategorized
Clear Soup,Clear Soup is a  item priced at Rs 120.,,Rs 120,,Unknown,Uncategorized
Corn Cheese Balls,Corn Cheese Balls is a  item priced at Rs 180.,,Rs 180,,Vegetarian,Uncategorized
Crab Ghee Roast,Crab Ghee Roast is a  item priced at Rs 550.,,Rs 550,,Unknown,Uncategorized
Crab Sukka,Crab Sukka is a  item priced at Rs 500.,,Rs 500,,Unknown,Uncategorized
Crispy Corn,Crispy Corn is a  item priced at Rs 170.,,Rs 170,,Unknown,Uncategorized
Curd Rice,Curd Rice is a  item priced at Rs 150.,,Rs 150,,Unknown,Uncategorized
Dal Khichdi,Dal Khichdi is a  item priced at Rs 170.,,Rs 170,,Vegetarian,Uncategorized
Dal Tadka,Dal Tadka is a  item priced at Rs 190.,,Rs 190,,Vegetarian,Uncategorized
Egg 65,Egg 65 is a  item priced at Rs 180.,,Rs 180,,Non-Vegetarian,Uncategorized
Egg Bhurji,Egg Bhurji is a  item priced at Rs 120.,,Rs 120,,Non-Vegetarian,Uncategorized
Egg Fried Rice,Egg Fried Rice is a  item priced at Rs 180.,,Rs 180,,Non-Vegetarian,Uncategorized
Egg Pepper Dry,Egg Pepper Dry is a  item priced at Rs 175.,,Rs 175,,Non-Vegetarian,Uncategorized
Fish Kabab,Fish Kabab is a  item priced at Rs 200.,,Rs 200,,Non-Vegetarian,Uncategorized
Fish and Chips,Fish and Chips is a  item priced at Rs 260.,,Rs 260,,Non-Vegetarian,Uncategorized
French Chicken Boneless,French Chicken Boneless is a delicious chicken dish priced at Rs 220.,,Rs 220,,Non-Vegetarian,Uncategorized
French Fries with Dip,French Fries with Dip is a  item priced at Rs 140.,,Rs 140,,Unknown,Uncategorized
Garlic Kulcha,Garlic Kulcha is a  item priced at Rs 50.,,Rs 50,,Unknown,Uncategorized
Garlic Naan,Garlic Naan is a  item priced at Rs 55.,,Rs 55,,Unknown,Uncategorized
Garlic Roti,Garlic Roti is a  item priced at Rs 40.,,Rs 40,,Unknown,Uncategorized
Ghee Rice,Ghee Rice is a  item priced at Rs 170.,,Rs 170,,Unknown,Uncategorized
Gobi 65,Gobi 65 is a  item priced at Rs 180.,,Rs 180,,Unknown,Uncategorized
Gobi Chilli,Gobi Chilli is a  item priced at Rs 190.,,Rs 190,,Unknown,Uncategorized
Gobi Manchurian,Gobi Manchurian is a  item priced at Rs 190.,,Rs 190,,Unknown,Uncategorized
Green Peas Fry,Green Peas Fry is a  item priced at Rs 160.,,Rs 160,,Unknown,Uncategorized
Green Peas Masala,Green Peas Masala is a  item priced at Rs 170.,,Rs 170,,Unknown,Uncategorized
Green Peas Pepper Dry,Green Peas Pepper Dry is a  item priced at Rs 160.,,Rs 160,,Unknown,Uncategorized
Green Salad,Green Salad is a  item priced at Rs 100.,,Rs 100,,Unknown,Uncategorized
Guntur Chicken,Guntur Chicken is a delicious chicken dish priced at Rs 220.,,Rs 220,BESTSELLER,Non-Vegetarian,Uncategorized
Indian Style Crispy Lotus Stem,Indian Style Crispy Lotus Stem is a  item priced at Rs 160.,,Rs 160,,Unknown,Uncategorized
Jeegujje Fry,Jeegujje Fry is a  item priced at Rs 250.,,Rs 250,,Unknown,Uncategorized
